chandlers office in tulsa|jo lynn|this kitty is mittens and this one is fitzhugh, and this little guy    in the cat condo is jinkies.
ross and rachels apartment|ross|we dont. but i thought it would be nice to get to know him. you know,    maybe have a little dinner, drinks, conversation.
ross and rachels apartment|rachel|oh thats so cute: ross and mikes first date. is that going to be    awkward i mean, what are you guys going to talk about
ross and rachels apartment|ross|i dont know. but, you know, we, we have a lot in common, you know.    he plays piano i played keyboards in college. hes been divorced i have some    experience in that area. rachel nods. there is a knock on the door.
ross and rachels apartment|rachel|yeah. phoebe and mike enter.
ross and rachels apartment|phoebe|hi
ross and rachels apartment|rachel|hey.
ross and rachels apartment|phoebe|spotting rachels dress oooh. girls night out indeed.
ross and rachels apartment|rachel|to ross ok. so now, i think emma is probably down for the night,    but if you need anything ross . . . 
ross and rachels apartment|ross|rach, rach, well be fine, all right you go have fun.
ross and rachels apartment|rachel|okay. you too. and i hope you score. to mike bye.
ross and rachels apartment|mike|bye.
ross and rachels apartment|ross|so . . . welcome.
ross and rachels apartment|mike|holds up a six pack of fosters lager i got beer.
ross and rachels apartment|ross|i got bottled breast milk.
ross and rachels apartment|mike|eh, why dont we start with the beer
ross and rachels apartment|ross|okay. they sit. so, um, phoebe tells me you, ah, you play piano.
ross and rachels apartment|mike|yeah.
ross and rachels apartment|ross|you know, i, i used to, ah, play keyboards in college.
ross and rachels apartment|mike|ah pause do you have one here
ross and rachels apartment|ross|no.
ross and rachels apartment|mike|okay. pause they clink beer bottles, and drink. then, they stare uncomfortably at their    bottles.
ross and rachels apartment|ross|um . . . ah . . . you know, im divorced. um, phoebe, ah . . . phoebe    said you . . . youve been divorced
ross and rachels apartment|mike|yeah. pause yeah, im sorry. i dont . . . i dont really like to    talk about it.
ross and rachels apartment|ross|pause thats okay. well talk about pause something else. they    pause. they drink.
ross and rachels apartment|mike|so, youre a paleontologist, right
ross and rachels apartment|ross|yeah.
ross and rachels apartment|mike|my cousins a paleontologist.
monica and chandlers apartment|ross|ah mike nods. another pause. well, he and i would probably have    a lot to talk about.   she pours two glasses of wine as chandler enters with a carryon suitcase.    he sets the case by the door. 
monica and chandlers apartment|monica|hi.
monica and chandlers apartment|chandler|hey.
monica and chandlers apartment|monica|welcome home.
monica and chandlers apartment|chandler|hangs his jacket over the suitcase, locks the door, then turns to    monica. oh well, look at you.
monica and chandlers apartment|monica|yeah. what do you think
monica and chandlers apartment|chandler|well, it looks great. its just that . . . well, im wearing the    same thing underneath. so . . .
monica and chandlers apartment|monica|oh.
monica and chandlers apartment|chandler|see what i mean . . . they kiss. there is a loud thud at the door.
monica and chandlers apartment|joey|hey how come the doors locked
monica and chandlers apartment|monica|just a second.
monica and chandlers apartment|chandler|hushed no, no, no, no, no. joey cant know that im here.
monica and chandlers apartment|monica|why not
monica and chandlers apartment|chandler|because i didnt know how to tell him that i couldnt go to the knicks    game. so, i just told him that i had to stay in tulsa.
monica and chandlers apartment|monica|so, you lied to him
monica and chandlers apartment|chandler|achhh. its always better to lie than to have the complicated discussion.    pause except with you.
monica and chandlers apartment|joey|hey open the door. whats going on he knocks. monica goes to the door. chandler slides behind it as she opens it slightly.
monica and chandlers apartment|joey|what are you . .. he sees her in her negligee. why are you dressed    like that
monica and chandlers apartment|monica|oh, because, um . . . well, chandlers going to be home in a couple    of days. so, i thought i would, you know, practice the art of seduction.
monica and chandlers apartment|joey|oh, i thought i heard a mans voice before.
monica and chandlers apartment|monica|oh i was just doing chandlers side of the conversation. you know,    like, hi, how do i look as chandler really sexy. could i be any more    turned on
monica and chandlers apartment|joey|okay. pause. he looks over her shoulder at the table with the wine.    whoa, whoa. why are there two glasses of wine out
monica and chandlers apartment|monica|because. . . one of them is for you. monica turns to get the wine. chandler peeps through the peephole. joey,    seeing something, peeps back. chandler ducks. monica returns with two glasses    of wine. she gives one to joey.
monica and chandlers apartment|monica|cheers. she clinks his glass and pulls back. okay, buhbye. she    closes the door.
monica and chandlers apartment|chandler|you know, its funny. ive been, ah, practicing the art of seduction    myself. he raises his hands in front of himself, sticks out his behind, and    wiggles it. hi ya.
monica and chandlers apartment|monica|you might want to keep practicing.
monica and chandlers apartment|chandler|yah. chandlers cell phone rings. he looks at it.
monica and chandlers apartment|chandler|its joey. he answers it, holding it out so that monica can hear    too. hey joe.
monica and chandlers apartment|joey|dude, come home
monica and chandlers apartment|chandler|what why
monica and chandlers apartment|joey|come . . . home.
monica and chandlers apartment|chandler|look i, i cant. whats going on
monica and chandlers apartment|joey|i dont know how to tell you this but, uh . . . i think monicas cheatin    on ya. i told you shouldnt have married someone so much hotter than you. chandler and monica look at each other. chandler nods.
monica and chandlers apartment|joey|all right look. he walks to the hallway. if you cant come home and    deal with this, then im gonna.
monica and chandlers apartment|chandler|no
monica and chandlers apartment|joey|outside the apartment door i just heard him
monica and chandlers apartment|chandler|softly can you . . . hear him . . . now
monica and chandlers apartment|joey|listens at the door. no. pause all right, im going in.
monica and chandlers apartment|chandler|no wait
monica and chandlers apartment|joey|i heard him again
monica and chandlers apartment|chandler|writhes as if in agony all right, look. just stay there. im    coming home.
monica and chandlers apartment|joey|okay. great. ill see you when you get here. im gonna wait out in    the hall in case the dude comes out.
monica and chandlers apartment|chandler|is that really necessary
ross and rachels apartment|joey|absolutely. youd do it for me. not that you ever have to because i    know how to keep my women satisfied.   bottle. ross stares off to the side.
ross and rachels apartment|ross|shouldnt the pizza be here by now i mean, they said thirty minutes    or less. well, how long has it been
ross and rachels apartment|mike|looking at his watch eleven minutes. long pause and now twelve.    so, do you like the beer
ross and rachels apartment|ross|i do. i do. although, its actually a lager.
ross and rachels apartment|mike|huh. pause whats the difference between beer and lager
ross and rachels apartment|ross|i dont know. we could look it up.
a bar|mike|nods things are about to get wild.   a sofa.]
a bar|phoebe|oh god. remember the girls nights we used to have sitting around    talking about you and ross
a bar|rachel|oh god. it seems like forever ago.
a bar|phoebe|i know. sighs so, whats going on with you and ross
a bar|rachel|well, um . . . i dont know. i mean, for a long time nothing. but    you know, actually right before you picked me up, ross and i had a . . . ah    . . . little thing.
a bar|phoebe|oh my god i love things. what happened
a bar|rachel|well, um, first he told me he liked how i looked. and, ah, then we    had a little . . . um . . . eyecontact.
a bar|phoebe|eyecontact
a bar|rachel|mmhmm.
a bar|phoebe|i hope you were using protection.
a bar|waiter|with tray and two drinks excuse me. um, these are from the two    gentlemen at the end of the bar.
a bar|rachel|oh. to phoebe should we send them something back
a bar|phoebe|oooh. lets do. lets send them mashed potatoes.
a bar|rachel|no wait no, no. dont do that thats going to make them think    they can come over here.
a bar|phoebe|so what if they do
a bar|rachel|well, were not here to meet guys. you have a boyfriend, i have a    b. . . baby and a ross.
monica and chandlers apartment|phoebe|yeah, but, ah, ah, nothing has to happen. were just having fun.    you know, not everything had to go as far as eyecontact.   monica stands behind the sofa.]
monica and chandlers apartment|monica|chandler, you have to tell joey that youre not in tulsa.
monica and chandlers apartment|chandler|dont you think its better for him to think that youre cheating    on me, than for him to think that im cheating on him monica tips her head    slightly as if asking did you hear yourself i heard it.
monica and chandlers apartment|monica|i dont want him to think that im having an affair.
monica and chandlers apartment|chandler|all right. ive got a plan. ill go down the fire escape.
monica and chandlers apartment|monica|yes, because all good plans start with, ill go down the fire escape.
monica and chandlers apartment|chandler|hear me out woman. ill go down the fire escape. then, ill wait    for a while. then, when i come up the stairs, itll be just like i just got    back from tulsa. then, joey and i will come in and see that theres no guy    in here.
monica and chandlers apartment|monica|arent you afraid that joeys going to figure all of this out pause    i heard it. chandler runs to the window, opens it, starts out, but returns, casually walking    back to his chair.
monica and chandlers apartment|chandler|im just going to wait for a little while.
monica and chandlers apartment|monica|scary pigeons back
the bar|chandler|its huge.   the plastic tripod are left in the otherwise empty pizza box. mike is making    hollow popping noises with his mouth. he begins to speak, but stops and pops    his lips a few more times and takes a drink. ross smiles as if he has thought    of something to say, but then he stops and sinks back in a slump on the sofa.]
the bar|rachel|oh my god. i cant believe you live in that building. my grandmother    lives in that building. ida green no sense of personal space kind of smells    like chicken looks like a potato.
the bar|bill|spuds is your grandmother
the bar|rachel|thats my bubby
the bar|kevin|so, were on our way to a couple of parties. um. . . maybe we can get    your numbers and give you guys a call if we find something fun.
the bar|phoebe|yeah. . . im sorry. we werent really looking for anything to happen    with you guys. i, i have a boyfriend. 
the bar|  kevin|all right. its no big deal. 
the bar|  bill|so, she has a boyfriend. what is your situation 
the bar|  rachel|oh, well, its complicated. i dont actually have a boyfriend. but    um. . . 
the bar|  bill|then, can i have your number 
the bar|  rachel|pause im sorry, no. 
the bar|  bill|okay. they start to walk away. 
the bar|  rachel|oh sure. she pulls a business card from her purse and writes on it. 
the bar|  phoebe|reading the card. oh my god, youre giving your real number. 
the bar|  bill|okay, thanks. ill give you a call later tonight. 
the bar|  rachel|great. 
the bar|  bill|bye 
the bar|  phoebe|bye. the guys leave. wow. so, thats great. you, bill, ross, and emma    are going to be so happy together. what were you thinking
the bar|rachel|i dont know. he was cute, and he liked me. it was an impulse.
the bar|phoebe|what about ross what about your moment dont you want to talk to    ross about it
the bar|rachel|no. no, because i know exactly how the conversations gonna go. hey    ross, you know, i think we had a moment before.
the bar|rachel|lowers voice to imitate ross yeah. clears throat. me too.
the bar|rachel|as herself well, but im not sure i really want to do anything about    it.
the bar|rachel|as ross yeah. clears throat twice. me neither. clears throat    again.
the bar|rachel|as herself well, should we just continue to live together and not    really tell each other how were really feeling
the bar|rachel|as ross yeah. that works for me. clears throat twice more.
the bar|phoebe|yeah, i see what you mean. by the way, nice ross imitation.
the bar|rachel|oh, thanks.
the bar|phoebe|but, your rachel wasnt whiny enough.
the bar|rachel|whining wha. . . hey
the bar|phoebe|pointing better
the bar|rachel|well, the point is, maybe i should just stop waiting around for moments    with ross, you know i should just . . . move on with my life.
the bar|phoebe|really youre moving on from ross
the bar|rachel|i dont know. do i have to decide right now
the bar|phoebe|well, you kind of just did. that guy is going to call you tonight.    ross is going to pick up the phone and thats a pretty clear message.
the bar|rachel|oh god, ross. ross is going to pick up the phone. oh, i have to get    my number back. she turns to find bill, but they have gone. oh my god.    hes gone.
ross and rachels apartment|phoebe|imitating rachel oh, i have to get my number back. oh my god.    hes gone. smiles dead on.   ross is fidgeting with the cuff of his sweater while mike blows his cheeks out.    ross blows a piece of fuzz from his finger.
ross and rachels apartment|mike|releases a whoosh of air ya know, im going to take off.
ross and rachels apartment|ross|so soon
ross and rachels apartment|mike|well, yeah.
ross and rachels apartment|ross|okay. well, thanks, ah, thanks for the beer.
ross and rachels apartment|mike|ah, you mean lager.
ross and rachels apartment|ross|ah yeah. good times. mike leaves. ross closes the door behind him.
ross and rachels apartment|mike|in the hall, relieved oh. ross, inside the door, releases a sign of relief. back in the hall, mikes    cell phone rings.
ross and rachels apartment|mike|hello
ross and rachels apartment|phoebe|calling from the bar on her cell phone. hey, mike, its me. listen,    is um, is ross near you
ross and rachels apartment|mike|uh, no. i just left.
ross and rachels apartment|phoebe|well, you have to go back in.
ross and rachels apartment|mike|wha . . . go back to the land where time stands still
ross and rachels apartment|phoebe|im so sorry honey, but, okay, rachel gave this guy her number and,    um, she doesnt want ross to answer the phone. so, you have to intercept all    his calls.
ross and rachels apartment|mike|i cant do that
ross and rachels apartment|phoebe|to rachel he says he cant do that.
ross and rachels apartment|rachel|oh give me , , , phoebe gives rachel the phone. hi, mike hi.    listen. i know this is a lot to ask, but you know what if you do this i .    . . phoebe will . . . do anything you want. seriously, im talking dirty stuff.
ross and rachels apartment|phoebe|all right. she takes the phone from rachel. hello hi. im sorry    about her, but she wasnt wrong about the dirty stuff.
ross and rachels apartment|mike|all right. ill do it. phoebe gives the thumbsup sign to rachel.    but really, how much dirtier can it get
ross and rachels apartment|phoebe|knowingly chuckles oh, mike. bye. mike knocks on rosss door. ross opens it.
ross and rachels apartment|mike|hey buddy.
ross and rachels apartment|ross|uh, hi.
ross and rachels apartment|mike|um, can i come back in
ross and rachels apartment|ross|putting his arm up with his hand on the door frame. why he starts    to lower his arm.
ross and rachels apartment|mike|entering the apartment i, i was just thinking about how much more we    have to talk about.
the hallway and stairs outside chandler and monicas apartment|ross|whining but you left.   enters from the stairs. joey is sitting with a baseball bat.]
the hallway and stairs outside chandler and monicas apartment|joey|wow that didnt take long. i thought you said tulsa was, like a three    hour flight.
the hallway and stairs outside chandler and monicas apartment|chandler|pause well, youre forgetting about the time difference. joey thinks a moment. then, he nods. joey follows chandler into the apartment.
the hallway and stairs outside chandler and monicas apartment|monica|gasp chandler youre home
the hallway and stairs outside chandler and monicas apartment|chandler|thats right. youre husbands home. so, now the sex can stop. joey gives him and odd look. monica gives a similar look.
the hallway and stairs outside chandler and monicas apartment|monica|what are you saying
the hallway and stairs outside chandler and monicas apartment|chandler|joey said that youre in here with another man.
the hallway and stairs outside chandler and monicas apartment|monica|theres no man in here. how dare you accuse me of that. she slaps    chandler.
the hallway and stairs outside chandler and monicas apartment|joey|all right. all right. then, maybe you wont mind if me and my friend    take a look around, huh he checks the bathroom shaking the bat. then he    proceeds to their bedroom. bwaahah thudding sounds can be heard from the bedroom.
the hallway and stairs outside chandler and monicas apartment|chandler|to monica what is he doing
the hallway and stairs outside chandler and monicas apartment|monica|smiling i arranged some pillows on the bed to look like a guy.
the hallway and stairs outside chandler and monicas apartment|joey|emerging bedroom is clear, although you might need some new pillows.
the hallway and stairs outside chandler and monicas apartment|chandler|all right. well, ill check the guest room.
the hallway and stairs outside chandler and monicas apartment|joey|sniffing the air and then monica. why do i smell mens cologne
the hallway and stairs outside chandler and monicas apartment|monica|sniffing joey i think thats you.
the hallway and stairs outside chandler and monicas apartment|joey|sniffs his shirt. oh yeah. i rubbed a magazine on myself earlier.
the hallway and stairs outside chandler and monicas apartment|chandler|theres nobody here joe.
the hallway and stairs outside chandler and monicas apartment|joey|i guess not.
the hallway and stairs outside chandler and monicas apartment|monica|i cant believe you thought i was cheating. pointing at joey you    own me an apology.
the hallway and stairs outside chandler and monicas apartment|joey|yeah, right monica. im so sorry.
the hallway and stairs outside chandler and monicas apartment|monica|suddenly starts issuing him out ah, its an honest mistake. it could    happen to anyone. all right, see ya.
the hallway and stairs outside chandler and monicas apartment|joey|spots the suitcase just inside the door where chandler left it whoa,    whoa. wait a minute. wait a minute. if you just got back from tulsa, how    did your suitcase beat you here
ross and rachels apartment|chandler|thinks, then turns to monica i climb down the fire escape and you    cant put that in the closet
ross and rachels apartment|mike|so, except for the fermentation process, beer and ale are basically the    same thing. fascinating isnt it.
ross and rachels apartment|ross|maybe you should look up fascinating. phone rings.
ross and rachels apartment|mike|ill get it. he lunges across rosss lap on the sofa to reach the phone.    ross stares at him with wide eyes. hello rosss place. mike speaking.    pause. hands phone to ross its for you.
monica and chandlers apartment  continuing action|ross|takes the phone, but speaks to mike i dont understand what just happened    here.
monica and chandlers apartment  continuing action|joey|whats going on
monica and chandlers apartment  continuing action|chandler|im sorry. i, i told you i was in tulsa because i wanted to spend    the night with monica and i, i didnt know . . . i didnt think youd understand.
monica and chandlers apartment  continuing action|joey|what you think im too dumb to understand that a husband needs to be    with his wife huh do you think im like, duh. he strikes himself in    the head with the bat. he stands dazed for a moment.
monica and chandlers apartment  continuing action|monica|joey
monica and chandlers apartment  continuing action|joey|yeah his eyes bug out.
monica and chandlers apartment  continuing action|monica|i dont know what to say. we shouldnt have lied to you.
monica and chandlers apartment  continuing action|chandler|yeah. i feel so bad. is there anything i can do to make it up to    you
monica and chandlers apartment  continuing action|joey|pause yeah, you could go to the game with me, ah, even though i know    you said you couldnt. but then you lied to me and tricked me and gave me a    bump on the head.
monica and chandlers apartment  continuing action|chandler|im sorry. thats the one thing i cant do. i promised id be with    monica.
monica and chandlers apartment  continuing action|joey|all right.
monica and chandlers apartment  continuing action|monica|taps chandler on the arm you can go.
monica and chandlers apartment  continuing action|chandler|what
monica and chandlers apartment  continuing action|monica|you should go to the game. its okay. i want you to.
monica and chandlers apartment  continuing action|chandler|really youre gonna be okay
monica and chandlers apartment  continuing action|monica|yeah, ill be fine. you know, maybe ill stay here and practice the    art of seduction.
monica and chandlers apartment  continuing action|chandler|youre gonna put on sweats and clean, arent you
monica and chandlers apartment  continuing action|monica|its gonna be so hot she kisses him.
monica and chandlers apartment  continuing action|chandler|okay, bye.
monica and chandlers apartment  continuing action|monica|have fun.
monica and chandlers apartment  continuing action|joey|thanks. joey and chandler exit to the hall. joey pulls out the tickets    and hands one to chandler. heres your ticket.
monica and chandlers apartment  continuing action|chandler|hey, listen. im never going to lie to you again, okay and i want    you to know that nobody thinks youre stupid.
monica and chandlers apartment  continuing action|joey|thanks man. chandler heads toward the stairs, but makes a turn back to his apartment while    looking at the ticket.
monica and chandlers apartment  continuing action|joey|where are you going
ross and rachels apartment|chandler|games tomorrow night joe. chandler goes into the apartment, while joey checks his ticket and is embarrassed    by his stupid mistake.
ross and rachels apartment|rachel|hi. everyone exchanges greetings.
ross and rachels apartment|ross|oh god. he hugs rachel
ross and rachels apartment|rachel|oh . . . 
ross and rachels apartment|mike|im so glad youre back. he hugs phoebe.
ross and rachels apartment|phoebe|oh.
ross and rachels apartment|rachel|wow. so, what did you guys do
ross and rachels apartment|ross|oh, you know . . . we just drank some beer and mike played with the boundaries    of normal social conduct.
ross and rachels apartment|mike|its true. i did.
ross and rachels apartment|phoebe|pause well, good bye. okays, and good byes are exchanged all around.
ross and rachels apartment|rachel|that was fun pheebs.
ross and rachels apartment|phoebe|i know. that was fun. she and mike exit.
ross and rachels apartment|rachel|see you guys. she closes the door.
ross and rachels apartment|ross|rachel, lock the door. lock the door, seriously.
ross and rachels apartment|rachel|oh shoot. i forgot to pay phoebe for the drinks. she exits to the    hallway and closes the door behind her. wait, wait. sorry. did he call    did that guy call
ross and rachels apartment|mike|no. just his mom.
ross and rachels apartment|rachel|oh, around 8:30
ross and rachels apartment|mike|yeah.
ross and rachels apartment|rachel|then, again at 9:00
ross and rachels apartment|mike|nods uhhuh.
ross and rachels apartment|rachel|yeah. inside the apartment the phone rings. ross answers it.
ross and rachels apartment|ross|hello. listens ah, no, shes not here right now. can i take a message    grabs a pad and pen bill from the bar writes okay, bill from the bar.    ill make sure she gets your number. he hangs up the phone and tears the note off the pad. then, he stops and    rereads it. rachel enters.
ross and rachels apartment|rachel|aaah. she goes to tend emma.
ross and rachels apartment|ross|so, ah . . . so, how was it uh, did you guys. . . did you guys have    a good time
ross and rachels apartment|rachel|oh, it was so much fun. it felt so good to be out.
ross and rachels apartment|ross|holds up the message uh, rach.
ross and rachels apartment|rachel|still looking at emma yeah
ross and rachels apartment|ross|pauses, then crunches up the note and stuffs it in his pocket. never    mind. [end]
ross and rachels apartment|[tag scene|central perk. phoebe and mike are on the sofa. ross enters.]
ross and rachels apartment|ross|hey you guys. he sits.
ross and rachels apartment|mike|hey.
ross and rachels apartment|phoebe|hey. ill be right back. ive got to go to the bathroom. she rises    and exits. ross and mike glance at each other then both suddenly turn to phoebe who is    gone. they sheepishly exchange glances.
